Country,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)$",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP)$,Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Latitude,Longitude
Sri Lanka,Asia-Pacific,115.0,25.0,56.4,44.7,39.4,28.9,84.9,88.3,30.4,75.1,58.8,70.1,76.2,40.0,40.0,4.4,24.0,28.0,12.3,19.8,214.0,2747.0,3.1,4.2,12811.0,41.0,6.5,13749.0,79.4,7.873054,80.771797
Sudan,Sub-Saharan Africa,166.0,41.0,47.7,27.5,22.2,26.2,86.3,96.6,76.1,52.1,59.0,56.9,45.0,5.0,20.0,17.5,10.0,35.0,6.7,10.6,408.0,1870.0,3.2,3.0,4586.0,127.0,32.4,10653.0,126.0,12.862807,30.217636
Suriname,Americas,165.0,28.0,48.1,49.1,22.2,35.5,70.9,77.2,9.6,48.3,73.5,56.0,64.6,40.0,30.0,10.2,38.0,36.0,13.2,27.6,6.0,85.0,0.0,-0.9,14606.0,81.0,22.0,873.0,72.1,3.919305,-56.027783
Sweden,Europe,19.0,10.0,75.2,89.5,84.0,88.0,43.2,26.7,96.6,88.0,53.9,82.0,86.0,85.0,80.0,2.0,57.0,22.0,44.1,49.4,101.0,5209.0,2.4,2.8,51475.0,67.0,1.9,153957.0,40.9,60.128161,18.643501
Switzerland,Europe,4.0,1.0,81.9,85.3,82.0,88.0,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85.0,90.0,1.3,40.0,24.0,27.8,34.3,84.0,5172.0,1.1,1.6,61422.0,48.0,0.5,409861.0,42.8,46.818188,8.227512
Syria,Middle East and North Africa,90.5,20.538888888888888,60.76833333333333,37.0,24.4,20.3,77.21277777777779,64.20382513661202,65.99672131147541,49.6,58.2,48.3,47.0,0.0,48.78453038674033,16.5,22.0,28.0,22.15754189944134,33.863736263736264,184.0,6878.87027027027,3.470108695652174,2.984153005464481,21296.918478260868,149.0,5.208241758241758,81281.39779005524,56.46923076923077,34.802075,38.996815
Taiwan ,Asia-Pacific,10.0,5.0,77.3,85.4,70.1,69.2,75.0,90.6,91.6,93.2,60.9,84.4,87.0,60.0,60.0,1.5,45.0,20.0,8.9,17.7,236.0,11855.0,2.8,2.2,50294.0,38.0,0.6,32550.0,35.2,23.69781,120.960515
Tajikistan,Asia-Pacific,122.0,28.0,55.6,47.8,52.1,36.4,91.8,64.6,60.3,67.3,49.2,68.5,73.6,25.0,30.0,5.7,13.0,15.0,20.6,34.3,88.0,284.0,7.1,6.8,3212.0,103.0,7.3,1413.0,47.8,38.861034,71.276093
Tanzania,Sub-Saharan Africa,94.0,7.0,60.2,35.4,41.4,33.2,80.5,90.3,85.2,46.6,66.2,70.4,67.8,55.0,50.0,8.6,30.0,30.0,12.4,18.0,500.0,1622.0,6.0,6.8,3240.0,22.0,5.3,11804.0,38.2,-6.369028,34.888822
Thailand,Asia-Pacific,43.0,10.0,68.3,53.7,45.9,36.4,81.3,85.8,96.5,82.5,63.9,75.2,83.0,55.0,60.0,3.5,35.0,20.0,15.6,21.8,691.0,12337.0,3.9,2.8,17856.0,11.0,0.7,76352.0,41.9,15.870032,100.992541
Timor-Leste,Asia-Pacific,172.0,42.0,44.2,29.7,13.1,32.1,96.3,0.9,20.0,60.5,58.8,79.5,75.0,45.0,20.0,2.5,10.0,10.0,13.1,57.5,12.0,68.0,-0.5,3.1,5444.0,34.0,0.6,67.0,0.0,-8.874217,125.727539
Togo,Sub-Saharan Africa,158.0,35.0,50.3,35.5,29.6,28.1,67.8,77.0,24.5,50.4,46.7,79.1,69.4,65.0,30.0,10.3,45.0,27.0,21.5,27.7,78.0,129.0,4.4,5.5,1659.0,18.0,-0.7,1456.0,78.6,8.619543,0.824782
Tonga,Asia-Pacific,108.0,23.0,57.7,59.2,26.6,38.1,85.5,40.9,93.4,75.3,69.9,69.4,73.6,40.0,20.0,5.7,20.0,25.0,20.7,44.4,1.0,6.0,3.1,2.4,5608.0,11.0,8.0,138.0,48.0,-21.178986,-175.198242
Trinidad and Tobago,Americas,112.0,22.0,57.0,52.3,40.6,32.9,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60.0,50.0,8.3,25.0,25.0,22.8,35.7,14.0,430.0,-2.6,-1.3,31367.0,48.0,1.9,1787.0,41.3,10.691803,-61.222503
Tunisia,Middle East and North Africa,125.0,10.0,55.4,49.2,42.7,36.6,74.4,74.4,37.9,76.7,50.3,76.0,71.4,45.0,30.0,9.3,35.0,30.0,20.8,29.2,115.0,1354.0,1.9,1.7,11755.0,154.0,5.3,8795.0,71.3,33.886917,9.537499
Turkey,Europe,68.0,33.0,64.6,55.8,49.8,41.2,76.4,65.1,92.2,66.0,49.2,70.0,79.6,70.0,60.0,2.7,35.0,22.0,25.5,34.1,808.0,21732.0,7.0,6.0,26893.0,113.0,11.1,108640.0,28.5,38.963745,35.243322
Turkmenistan,Asia-Pacific,164.0,40.0,48.4,31.6,29.8,20.3,95.9,92.0,92.3,30.0,20.0,73.4,76.0,10.0,10.0,2.0,10.0,8.0,15.6,16.4,57.0,1035.0,6.5,7.9,18126.0,34.0,8.0,23135.0,28.8,38.969719,59.556278
Uganda,Sub-Saharan Africa,95.0,8.0,59.7,42.2,38.5,25.4,73.3,88.7,68.6,46.3,83.2,80.1,75.4,55.0,40.0,7.3,40.0,30.0,12.9,19.4,377.0,887.0,4.5,4.3,2354.0,21.0,5.6,6997.0,39.0,1.373333,32.290275
Ukraine,Europe,147.0,44.0,52.3,43.9,31.5,29.6,81.8,46.9,82.6,66.1,46.7,58.6,75.0,35.0,30.0,2.5,20.0,18.0,33.1,42.1,423.0,3688.0,2.5,-2.3,8713.0,95.0,14.4,22020.0,75.6,48.379433,31.16558
United Arab Emirates,Middle East and North Africa,9.0,1.0,77.6,81.8,87.1,78.8,99.2,68.8,88.9,79.9,81.1,80.9,84.4,40.0,60.0,2.8,0.0,0.0,8.9,32.3,101.0,6868.0,0.5,3.3,67741.0,17.0,2.0,103542.0,19.5,23.424076,53.847818
United Kingdom,Europe,7.0,3.0,78.9,92.3,85.9,83.8,64.7,48.2,68.6,92.9,73.5,81.2,86.0,90.0,80.0,2.0,45.0,20.0,33.2,41.6,661.0,29140.0,1.8,2.2,44118.0,43.0,2.7,150900.0,87.0,55.378051,-3.435973
United States,Americas,12.0,2.0,76.8,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85.0,80.0,1.7,37.0,21.0,26.0,37.8,3259.0,193906.0,2.3,2.2,59501.0,44.0,2.1,2753810.0,107.8,37.09024,-95.712891
Uruguay,Americas,40.0,6.0,68.6,68.3,58.9,69.2,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85.0,30.0,5.7,30.0,25.0,27.4,32.9,35.0,781.0,3.1,2.6,22371.0,79.0,6.2,1246.0,66.2,-32.522779,-55.765835
